TEAM_ID,TEAM_NAME,Conference,PlayoffRank,WinPCT,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PTS,PLUS_MINUS,SEASON,CHAMPION
1610612765,Detroit Pistons,East,1,0.646,0.454,0.344,0.774,3322,1768,1001.0,583,472,290,7872,341.0,2007,0
1610612739,Cleveland Cavaliers,East,2,0.61,0.447,0.352,0.696,3568,1708,1177.0,625,353,349,7934,314.0,2007,0
1610612761,Toronto Raptors,East,3,0.573,0.463,0.363,0.788,3235,1822,1104.0,581,321,317,8157,81.0,2007,0
1610612748,Miami Heat,East,4,0.537,0.464,0.343,0.69,3343,1681,1201.0,566,442,314,7759,-75.0,2007,0
1610612741,Chicago Bulls,East,5,0.598,0.457,0.388,0.734,3581,1832,1310.0,639,445,433,8100,411.0,2007,0
1610612751,New Jersey Nets,East,6,0.5,0.457,0.363,0.727,3347,1962,1212.0,499,273,369,8001,-63.0,2007,0
1610612764,Washington Wizards,East,7,0.5,0.45,0.348,0.765,3377,1660,1133.0,635,375,380,8556,-42.0,2007,0
1610612753,Orlando Magic,East,8,0.488,0.472,0.356,0.702,3338,1525,1392.0,565,416,376,7771,64.0,2007,0
1610612742,Dallas Mavericks,West,1,0.817,0.467,0.381,0.805,3435,1632,1140.0,560,408,312,8201,592.0,2007,0
1610612756,Phoenix Suns,West,2,0.744,0.494,0.399,0.808,3320,2122,1189.0,553,394,304,9037,599.0,2007,0
1610612759,San Antonio Spurs,West,3,0.707,0.474,0.381,0.751,3338,1814,1137.0,587,417,337,8079,691.0,2007,1
1610612762,Utah Jazz,West,4,0.622,0.474,0.335,0.743,3486,2024,1277.0,577,339,438,8322,235.0,2007,0
1610612745,Houston Rockets,West,5,0.634,0.445,0.372,0.753,3553,1704,1162.0,583,337,353,7953,398.0,2007,0
1610612743,Denver Nuggets,West,6,0.549,0.465,0.336,0.746,3559,1920,1352.0,678,435,424,8639,133.0,2007,0
1610612747,Los Angeles Lakers,West,7,0.512,0.466,0.353,0.747,3381,1850,1273.0,600,421,409,8474,-6.0,2007,0
1610612744,Golden State Warriors,West,8,0.512,0.463,0.356,0.717,3396,1950,1309.0,750,466,399,8737,-28.0,2007,0
