TEAM_ID,TEAM_NAME,Conference,PlayoffRank,WinPCT,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PTS,PLUS_MINUS,SEASON,CHAMPION
1610612761,Toronto Raptors,East,1,0.72,0.472,0.358,0.794,3607,1995,1095.0,626,500,401,9156,638.0,2018,0
1610612738,Boston Celtics,East,2,0.671,0.45,0.377,0.771,3645,1842,1148.0,604,373,364,8529,294.0,2018,0
1610612755,Philadelphia 76ers,East,3,0.634,0.472,0.369,0.752,3889,2221,1353.0,682,420,417,9004,369.0,2018,0
1610612739,Cleveland Cavaliers,East,4,0.61,0.476,0.372,0.779,3455,1916,1126.0,582,312,340,9091,77.0,2018,0
1610612754,Indiana Pacers,East,5,0.585,0.472,0.369,0.779,3472,1819,1088.0,721,340,428,8656,113.0,2018,0
1610612748,Miami Heat,East,6,0.537,0.455,0.36,0.755,3564,1862,1178.0,620,437,378,8480,39.0,2018,0
1610612749,Milwaukee Bucks,East,7,0.537,0.478,0.355,0.783,3267,1905,1135.0,722,443,366,8731,-25.0,2018,0
1610612764,Washington Wizards,East,8,0.524,0.467,0.375,0.772,3536,2065,1196.0,645,353,383,8742,48.0,2018,0
1610612745,Houston Rockets,West,1,0.793,0.46,0.362,0.781,3564,1767,1135.0,699,392,363,9213,695.0,2018,0
1610612744,Golden State Warriors,West,2,0.707,0.503,0.391,0.815,3568,2402,1265.0,656,612,300,9304,490.0,2018,1
1610612757,Portland Trail Blazers,West,3,0.598,0.452,0.366,0.8,3728,1599,1109.0,573,423,418,8661,213.0,2018,0
1610612760,Oklahoma City Thunder,West,4,0.585,0.453,0.354,0.716,3695,1750,1147.0,743,412,377,8844,280.0,2018,0
1610612762,Utah Jazz,West,5,0.585,0.462,0.366,0.779,3547,1839,1205.0,708,420,380,8540,353.0,2018,0
1610612740,New Orleans Pelicans,West,6,0.585,0.483,0.362,0.772,3635,2195,1223.0,657,485,344,9161,107.0,2018,0
1610612759,San Antonio Spurs,West,7,0.573,0.457,0.352,0.772,3626,1868,1078.0,628,460,318,8424,237.0,2018,0
1610612750,Minnesota Timberwolves,West,8,0.573,0.476,0.357,0.804,3441,1861,1021.0,689,345,382,8980,183.0,2018,0
