TEAM_ID,TEAM_NAME,Conference,PlayoffRank,WinPCT,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PTS,PLUS_MINUS,SEASON,CHAMPION
1610612739,Cleveland Cavaliers,East,1,0.695,0.46,0.362,0.748,3650,1861,1114.0,551,317,362,8555,492.0,2016,1
1610612761,Toronto Raptors,East,2,0.683,0.451,0.37,0.777,3560,1536,1073.0,636,449,442,8422,369.0,2016,0
1610612748,Miami Heat,East,3,0.585,0.47,0.336,0.744,3618,1709,1155.0,553,531,337,8204,135.0,2016,0
1610612737,Atlanta Hawks,East,4,0.585,0.458,0.35,0.783,3451,2100,1226.0,747,486,411,8433,296.0,2016,0
1610612738,Boston Celtics,East,5,0.585,0.439,0.335,0.788,3683,1981,1127.0,752,348,450,8669,263.0,2016,0
1610612766,Charlotte Hornets,East,6,0.585,0.439,0.362,0.79,3603,1778,1029.0,595,438,448,8479,223.0,2016,0
1610612754,Indiana Pacers,East,7,0.549,0.45,0.351,0.764,3626,1741,1219.0,742,391,366,8377,140.0,2016,0
1610612765,Detroit Pistons,East,8,0.537,0.439,0.345,0.668,3798,1594,1110.0,573,304,366,8361,50.0,2016,0
1610612744,Golden State Warriors,West,1,0.89,0.487,0.416,0.763,3788,2373,1245.0,689,498,336,9421,882.0,2016,0
1610612759,San Antonio Spurs,West,2,0.817,0.484,0.375,0.803,3601,2010,1071.0,677,485,317,8490,872.0,2016,0
1610612760,Oklahoma City Thunder,West,3,0.671,0.476,0.349,0.782,3987,1883,1305.0,603,487,373,9038,597.0,2016,0
1610612746,LA Clippers,West,4,0.646,0.465,0.364,0.692,3448,1873,1063.0,709,460,259,8569,351.0,2016,0
1610612757,Portland Trail Blazers,West,5,0.537,0.45,0.37,0.754,3730,1748,1200.0,562,380,424,8622,68.0,2016,0
1610612742,Dallas Mavericks,West,6,0.512,0.444,0.344,0.794,3532,1813,1047.0,560,306,363,8388,-25.0,2016,0
1610612763,Memphis Grizzlies,West,7,0.512,0.44,0.331,0.783,3413,1697,1090.0,724,350,469,8126,-184.0,2016,0
1610612745,Houston Rockets,West,8,0.5,0.452,0.347,0.694,3531,1821,1307.0,821,430,404,8737,16.0,2016,0
