TEAM_ID,TEAM_NAME,Conference,PlayoffRank,WinPCT,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PTS,PLUS_MINUS,SEASON,CHAMPION
1610612748,Miami Heat,East,1,0.646,0.467,0.379,0.808,3585,2090,1194.0,606,265,330,9022,365.0,2022,0
1610612738,Boston Celtics,East,2,0.622,0.466,0.356,0.816,3778,2036,1118.0,591,478,376,9164,597.0,2022,0
1610612749,Milwaukee Bucks,East,3,0.622,0.468,0.366,0.776,3830,1960,1100.0,623,326,357,9470,275.0,2022,0
1610612755,Philadelphia 76ers,East,4,0.622,0.466,0.364,0.821,3470,1945,1027.0,633,435,379,9015,214.0,2022,0
1610612761,Toronto Raptors,East,5,0.585,0.445,0.349,0.759,3717,1809,1021.0,738,376,416,8970,188.0,2022,0
1610612741,Chicago Bulls,East,6,0.561,0.48,0.369,0.813,3471,1958,1053.0,585,336,410,9152,-32.0,2022,0
1610612751,Brooklyn Nets,East,7,0.537,0.475,0.361,0.805,3640,2071,1153.0,582,448,403,9258,64.0,2022,0
1610612739,Cleveland Cavaliers,East,8,0.537,0.469,0.355,0.76,3623,2064,1181.0,580,343,380,8839,174.0,2022,0
1610612756,Phoenix Suns,West,1,0.78,0.485,0.364,0.797,3714,2244,1060.0,702,359,327,9416,615.0,2022,0
1610612763,Memphis Grizzlies,West,2,0.683,0.461,0.353,0.734,4032,2131,1082.0,800,533,496,9480,466.0,2022,0
1610612744,Golden State Warriors,West,3,0.646,0.469,0.364,0.769,3730,2223,1221.0,719,372,317,9102,454.0,2022,1
1610612742,Dallas Mavericks,West,4,0.634,0.461,0.35,0.771,3528,1918,1025.0,552,325,300,8858,271.0,2022,0
1610612762,Utah Jazz,West,5,0.598,0.471,0.36,0.767,3800,1836,1148.0,588,402,352,9316,495.0,2022,0
1610612743,Denver Nuggets,West,6,0.585,0.483,0.353,0.795,3617,2279,1189.0,592,305,392,9243,189.0,2022,0
1610612750,Minnesota Timberwolves,West,7,0.561,0.457,0.358,0.778,3621,2106,1175.0,721,460,397,9507,216.0,2022,0
1610612746,LA Clippers,West,8,0.512,0.458,0.374,0.793,3607,1969,1126.0,608,406,339,8890,2.0,2022,0
