TEAM_ID,TEAM_NAME,Conference,PlayoffRank,WinPCT,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PTS,PLUS_MINUS,SEASON,CHAMPION
1610612739,Cleveland Cavaliers,East,1,0.805,0.468,0.393,0.757,3460,1663,1045.0,593,435,338,8223,732.0,2009,0
1610612738,Boston Celtics,East,2,0.756,0.486,0.397,0.765,3455,1862,1280.0,621,387,389,8275,616.0,2009,0
1610612753,Orlando Magic,East,3,0.72,0.457,0.381,0.715,3547,1593,1142.0,570,439,308,8286,549.0,2009,0
1610612737,Atlanta Hawks,East,4,0.573,0.458,0.366,0.737,3282,1657,1048.0,603,376,354,8046,129.0,2009,0
1610612748,Miami Heat,East,5,0.524,0.457,0.357,0.754,3239,1671,1026.0,651,451,335,8061,21.0,2009,0
1610612755,Philadelphia 76ers,East,6,0.5,0.459,0.318,0.745,3375,1647,1157.0,658,415,400,7987,6.0,2009,0
1610612741,Chicago Bulls,East,7,0.5,0.457,0.381,0.796,3451,1732,1192.0,615,453,449,8378,-23.0,2009,0
1610612765,Detroit Pistons,East,8,0.476,0.454,0.349,0.751,3397,1689,973.0,493,377,342,7727,-40.0,2009,0
1610612747,Los Angeles Lakers,West,1,0.793,0.474,0.361,0.77,3602,1908,1103.0,718,420,392,8768,628.0,2009,1
1610612743,Denver Nuggets,West,2,0.659,0.47,0.371,0.76,3412,1820,1257.0,710,492,447,8555,280.0,2009,0
1610612759,San Antonio Spurs,West,3,0.659,0.466,0.386,0.761,3366,1736,963.0,474,329,352,7958,308.0,2009,0
1610612757,Portland Trail Blazers,West,4,0.659,0.465,0.383,0.765,3420,1667,1055.0,550,402,319,8153,438.0,2009,0
1610612745,Houston Rockets,West,5,0.646,0.453,0.375,0.805,3524,1662,1158.0,548,355,435,8070,328.0,2009,0
1610612742,Dallas Mavericks,West,6,0.61,0.462,0.35,0.819,3504,1779,1043.0,591,429,334,8343,162.0,2009,0
1610612740,New Orleans Hornets,West,7,0.598,0.457,0.364,0.807,3255,1609,1029.0,593,338,290,7857,127.0,2009,0
1610612762,Utah Jazz,West,8,0.585,0.475,0.349,0.771,3363,2024,1210.0,719,374,424,8492,217.0,2009,0
