TEAM_ID,TEAM_NAME,Conference,PlayoffRank,WinPCT,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PTS,PLUS_MINUS,SEASON,CHAMPION
1610612749,Milwaukee Bucks,East,1,0.732,0.476,0.353,0.773,4078,2136,1137.0,615,486,395,9686,727.0,2019,0
1610612761,Toronto Raptors,East,2,0.707,0.474,0.366,0.804,3706,2085,1150.0,680,437,368,9384,499.0,2019,1
1610612755,Philadelphia 76ers,East,3,0.622,0.471,0.359,0.771,3917,2207,1223.0,606,432,336,9445,221.0,2019,0
1610612738,Boston Celtics,East,4,0.598,0.465,0.365,0.802,3653,2155,1052.0,706,435,317,9216,364.0,2019,0
1610612754,Indiana Pacers,East,5,0.585,0.475,0.374,0.752,3528,2128,1122.0,713,404,425,8857,273.0,2019,0
1610612751,Brooklyn Nets,East,6,0.512,0.449,0.353,0.745,3819,1954,1236.0,539,339,432,9204,-6.0,2019,0
1610612753,Orlando Magic,East,7,0.512,0.454,0.356,0.782,3724,2095,1082.0,543,445,362,8800,58.0,2019,0
1610612765,Detroit Pistons,East,8,0.5,0.44,0.348,0.747,3688,1845,1135.0,569,331,419,8778,-20.0,2019,0
1610612744,Golden State Warriors,West,1,0.695,0.491,0.385,0.801,3787,2413,1169.0,625,525,295,9650,530.0,2019,0
1610612743,Denver Nuggets,West,2,0.659,0.466,0.351,0.755,3804,2245,1102.0,634,363,407,9075,324.0,2019,0
1610612757,Portland Trail Blazers,West,3,0.646,0.467,0.359,0.814,3935,1887,1135.0,546,413,420,9402,344.0,2019,0
1610612745,Houston Rockets,West,4,0.646,0.449,0.356,0.791,3449,1741,1094.0,700,405,369,9341,391.0,2019,0
1610612762,Utah Jazz,West,5,0.61,0.468,0.356,0.736,3801,2133,1240.0,663,483,376,9161,431.0,2019,0
1610612760,Oklahoma City Thunder,West,6,0.598,0.454,0.348,0.713,3942,1917,1145.0,766,425,415,9387,279.0,2019,0
1610612759,San Antonio Spurs,West,7,0.585,0.478,0.392,0.819,3667,2013,992.0,501,386,332,9156,138.0,2019,0
1610612746,LA Clippers,West,8,0.585,0.471,0.388,0.792,3732,1970,1193.0,561,385,498,9442,70.0,2019,0
