TEAM_ID,TEAM_NAME,Conference,PlayoffRank,WinPCT,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PTS,PLUS_MINUS,SEASON,CHAMPION
1610612738,Boston Celtics,East,1,0.646,0.454,0.359,0.807,3441,2069,1088.0,617,340,425,8857,216.0,2017,0
1610612739,Cleveland Cavaliers,East,2,0.622,0.47,0.384,0.748,3587,1858,1121.0,539,327,349,9048,261.0,2017,0
1610612761,Toronto Raptors,East,3,0.622,0.464,0.363,0.796,3547,1517,1041.0,677,400,392,8762,345.0,2017,0
1610612764,Washington Wizards,East,4,0.598,0.475,0.372,0.784,3514,1956,1162.0,693,336,377,8953,148.0,2017,0
1610612737,Atlanta Hawks,East,5,0.524,0.451,0.341,0.728,3635,1938,1294.0,672,397,424,8459,-70.0,2017,0
1610612749,Milwaukee Bucks,East,6,0.512,0.474,0.37,0.768,3312,1984,1145.0,666,436,375,8497,-15.0,2017,0
1610612754,Indiana Pacers,East,7,0.512,0.465,0.376,0.81,3444,1844,1130.0,669,409,407,8618,-18.0,2017,0
1610612741,Chicago Bulls,East,8,0.5,0.444,0.34,0.798,3796,1851,1112.0,643,393,378,8435,35.0,2017,0
1610612744,Golden State Warriors,West,1,0.817,0.495,0.383,0.788,3643,2491,1211.0,785,555,313,9503,954.0,2017,1
1610612759,San Antonio Spurs,West,2,0.744,0.469,0.391,0.797,3598,1954,1101.0,655,484,333,8637,590.0,2017,0
1610612745,Houston Rockets,West,3,0.671,0.462,0.357,0.766,3638,2070,1240.0,670,352,409,9458,473.0,2017,0
1610612746,LA Clippers,West,4,0.622,0.475,0.375,0.745,3528,1848,1062.0,612,347,258,8911,352.0,2017,0
1610612762,Utah Jazz,West,5,0.622,0.466,0.372,0.747,3545,1651,1118.0,550,410,312,8258,323.0,2017,0
1610612760,Oklahoma City Thunder,West,6,0.573,0.452,0.327,0.745,3823,1721,1230.0,648,408,450,8741,62.0,2017,0
1610612763,Memphis Grizzlies,West,7,0.524,0.435,0.354,0.784,3507,1744,1059.0,653,344,410,8239,40.0,2017,0
1610612757,Portland Trail Blazers,West,8,0.5,0.459,0.375,0.78,3580,1733,1126.0,574,408,431,8851,-43.0,2017,0
