TEAM_ID,TEAM_NAME,Conference,PlayoffRank,WinPCT,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PTS,PLUS_MINUS,SEASON,CHAMPION
1610612749,Milwaukee Bucks,East,1,0.767,0.476,0.355,0.742,3774,1889,1102.0,526,429,326,8663,736.0,2020,0
1610612761,Toronto Raptors,East,2,0.736,0.458,0.374,0.796,3268,1816,1067.0,636,358,395,8118,449.0,2020,0
1610612738,Boston Celtics,East,3,0.667,0.461,0.364,0.801,3317,1655,995.0,595,406,396,8183,454.0,2020,0
1610612754,Indiana Pacers,East,4,0.616,0.476,0.363,0.787,3125,1888,967.0,543,376,335,7989,143.0,2020,0
1610612748,Miami Heat,East,5,0.603,0.468,0.379,0.783,3239,1892,1088.0,547,332,302,8179,215.0,2020,0
1610612755,Philadelphia 76ers,East,6,0.589,0.468,0.368,0.755,3317,1884,1037.0,586,389,294,8084,174.0,2020,0
1610612751,Brooklyn Nets,East,7,0.486,0.448,0.343,0.745,3449,1761,1099.0,464,323,379,8048,-41.0,2020,0
1610612753,Orlando Magic,East,8,0.452,0.444,0.343,0.774,3249,1747,937.0,599,396,338,7831,-74.0,2020,0
1610612747,Los Angeles Lakers,West,1,0.732,0.48,0.349,0.729,3247,1803,1077.0,612,468,263,8054,411.0,2020,1
1610612746,LA Clippers,West,2,0.681,0.466,0.371,0.791,3431,1708,1051.0,511,338,338,8377,464.0,2020,0
1610612743,Denver Nuggets,West,3,0.63,0.473,0.359,0.777,3222,1952,1005.0,586,337,324,8124,154.0,2020,0
1610612745,Houston Rockets,West,4,0.611,0.451,0.345,0.791,3188,1557,1057.0,627,371,354,8482,213.0,2020,0
1610612760,Oklahoma City Thunder,West,5,0.611,0.468,0.355,0.796,3088,1562,986.0,550,353,290,7950,143.0,2020,0
1610612762,Utah Jazz,West,6,0.611,0.471,0.38,0.779,3233,1615,1089.0,438,292,329,8013,178.0,2020,0
1610612742,Dallas Mavericks,West,7,0.573,0.461,0.367,0.779,3520,1849,953.0,460,363,311,8776,371.0,2020,0
1610612757,Portland Trail Blazers,West,8,0.473,0.463,0.377,0.804,3353,1525,946.0,465,451,364,8508,-85.0,2020,0
