TEAM_ID,TEAM_NAME,Conference,PlayoffRank,WinPCT,FG_PCT,FG3_PCT,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PTS,PLUS_MINUS,SEASON,CHAMPION
1610612738,Boston Celtics,East,1,0.78,0.487,0.388,0.807,3799,2207,979.0,557,538,304,9887,930.0,2024,0
1610612752,New York Knicks,East,2,0.61,0.465,0.369,0.78,3704,1998,1085.0,612,336,431,9249,376.0,2024,0
1610612749,Milwaukee Bucks,East,3,0.598,0.487,0.373,0.774,3622,2176,1059.0,558,413,347,9756,215.0,2024,0
1610612739,Cleveland Cavaliers,East,4,0.585,0.479,0.367,0.765,3549,2299,1112.0,605,380,410,9236,198.0,2024,0
1610612753,Orlando Magic,East,5,0.573,0.476,0.352,0.759,3469,2023,1206.0,669,423,379,9058,166.0,2024,0
1610612754,Indiana Pacers,East,6,0.573,0.507,0.374,0.782,3405,2522,1059.0,631,481,440,10110,250.0,2024,0
1610612755,Philadelphia 76ers,East,7,0.573,0.464,0.363,0.826,3522,2041,984.0,694,492,503,9397,250.0,2024,0
1610612748,Miami Heat,East,8,0.561,0.465,0.37,0.818,3468,2116,1038.0,617,280,388,9032,144.0,2024,0
1610612760,Oklahoma City Thunder,West,1,0.695,0.499,0.389,0.825,3447,2223,1039.0,694,538,419,9847,608.0,2024,0
1610612743,Denver Nuggets,West,2,0.695,0.496,0.374,0.762,3643,2415,1036.0,585,456,394,9418,431.0,2024,0
1610612750,Minnesota Timberwolves,West,3,0.683,0.485,0.387,0.777,3577,2184,1162.0,647,497,371,9264,529.0,2024,0
1610612746,LA Clippers,West,4,0.622,0.489,0.381,0.825,3523,2097,1078.0,640,413,384,9481,269.0,2024,0
1610612742,Dallas Mavericks,West,5,0.61,0.481,0.369,0.758,3521,2106,1027.0,563,406,331,9664,181.0,2024,0
1610612756,Phoenix Suns,West,6,0.598,0.493,0.382,0.808,3614,2218,1221.0,610,492,372,9532,251.0,2024,0
1610612740,New Orleans Pelicans,West,7,0.598,0.486,0.383,0.771,3605,2210,1067.0,684,378,424,9436,362.0,2024,0
1610612747,Los Angeles Lakers,West,8,0.573,0.499,0.377,0.782,3535,2340,1146.0,605,453,390,9679,49.0,2024,0
